,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
5,term,explicit,slut,1.0,sexism,,,,,,
92,term,explicit,bigheaded,0.0,racism,,,,,,
95,term,explicit,fascist,0.0,partyism,,,,,,
114,term,explicit,sleazy,1.0,sexism,,,,,,
135,term,explicit,scammer,1.0,partyism,,,,,,
172,term,explicit,babe,1.0,sexism,,,,,,
234,term,explicit,pussy,1.0,partyism,,,,,,
270,term,explicit,whore,0.0,sexism,,,,,,
317,term,explicit,whorehouse,0.0,sexism,,,,,,
491,term,explicit,monkey,0.0,racism,,,,,,
493,term,explicit,fat-ass,0.0,sexism,,,,,,
497,term,explicit,bootlicker,1.0,partyism,,,,,,
